Params,Profit
"[10, 0.01, 1, 10, 1, 0]",1862.8897966516724
"[10, 0.01, 1, 10, 3, 0]",1862.8897966516724
"[10, 0.01, 1, 10, 5, 0]",1862.8897966516724
"[10, 0.01, 1, 100, 1, 0]",1862.8897966516724
"[10, 0.01, 1, 100, 3, 0]",1862.8897966516724
"[10, 0.01, 1, 100, 5, 0]",1862.8897966516724
"[10, 0.01, 1, 500, 1, 0]",1862.8897966516724
"[10, 0.01, 1, 500, 3, 0]",1862.8897966516724
"[10, 0.01, 1, 500, 5, 0]",1862.8897966516724
"[10, 0.01, 3, 10, 1, 0]",1862.8897966516724
"[10, 0.01, 3, 10, 3, 0]",1862.8897966516724
"[10, 0.01, 3, 10, 5, 0]",1862.8897966516724
"[10, 0.01, 3, 100, 1, 0]",1862.8897966516724
"[10, 0.01, 3, 100, 3, 0]",1862.8897966516724
"[10, 0.01, 3, 100, 5, 0]",1862.8897966516724
"[10, 0.01, 3, 500, 1, 0]",1862.8897966516724
"[10, 0.01, 3, 500, 3, 0]",1862.8897966516724
"[10, 0.01, 3, 500, 5, 0]",1862.8897966516724
"[10, 0.01, 5, 10, 1, 0]",1862.8897966516724
"[10, 0.01, 5, 10, 3, 0]",1862.8897966516724
"[10, 0.01, 5, 10, 5, 0]",1862.8897966516724
"[10, 0.01, 5, 100, 1, 0]",1862.8897966516724
"[10, 0.01, 5, 100, 3, 0]",1862.8897966516724
"[10, 0.01, 5, 100, 5, 0]",1862.8897966516724
"[10, 0.01, 5, 500, 1, 0]",1862.8897966516724
"[10, 0.01, 5, 500, 3, 0]",1862.8897966516724
"[10, 0.01, 5, 500, 5, 0]",1862.8897966516724
"[10, 0.05, 1, 10, 1, 0]",1862.8897966516724
"[10, 0.05, 1, 10, 3, 0]",1862.8897966516724
"[10, 0.05, 1, 10, 5, 0]",1862.8897966516724
"[10, 0.05, 1, 100, 1, 0]",1862.8897966516724
"[10, 0.05, 1, 100, 3, 0]",1862.8897966516724
"[10, 0.05, 1, 100, 5, 0]",1862.8897966516724
"[10, 0.05, 1, 500, 1, 0]",1862.8897966516724
"[10, 0.05, 1, 500, 3, 0]",1862.8897966516724
"[10, 0.05, 1, 500, 5, 0]",1862.8897966516724
"[10, 0.05, 3, 10, 1, 0]",1466.3971868469837
"[10, 0.05, 3, 10, 3, 0]",1466.3971868469837
"[10, 0.05, 3, 10, 5, 0]",1466.3971868469837
"[10, 0.05, 3, 100, 1, 0]",1466.3971868469837
"[10, 0.05, 3, 100, 3, 0]",1466.3971868469837
"[10, 0.05, 3, 100, 5, 0]",1466.3971868469837
"[10, 0.05, 3, 500, 1, 0]",1466.3971868469837
"[10, 0.05, 3, 500, 3, 0]",1479.9686154184128
"[10, 0.05, 3, 500, 5, 0]",1466.3971868469837
"[10, 0.05, 5, 10, 1, 0]",1147.8470021669332
"[10, 0.05, 5, 10, 3, 0]",1256.8941364052437
"[10, 0.05, 5, 10, 5, 0]",1203.1447689163124
"[10, 0.05, 5, 100, 1, 0]",1301.9399132898516
"[10, 0.05, 5, 100, 3, 0]",1165.536993548101
"[10, 0.05, 5, 100, 5, 0]",1167.226701689422
"[10, 0.05, 5, 500, 1, 0]",1233.4637228136608
"[10, 0.05, 5, 500, 3, 0]",1106.4208290795905
"[10, 0.05, 5, 500, 5, 0]",1145.3470021669334
"[10, 0.1, 1, 10, 1, 0]",1790.3897966516724
"[10, 0.1, 1, 10, 3, 0]",1790.3897966516724
"[10, 0.1, 1, 10, 5, 0]",1790.3897966516724
"[10, 0.1, 1, 100, 1, 0]",1790.3897966516724
"[10, 0.1, 1, 100, 3, 0]",1790.3897966516724
"[10, 0.1, 1, 100, 5, 0]",1790.3897966516724
"[10, 0.1, 1, 500, 1, 0]",1790.3897966516724
"[10, 0.1, 1, 500, 3, 0]",1790.3897966516724
"[10, 0.1, 1, 500, 5, 0]",1790.3897966516724
"[10, 0.1, 3, 10, 1, 0]",521.3572158130129
"[10, 0.1, 3, 10, 3, 0]",493.3572158130127
"[10, 0.1, 3, 10, 5, 0]",521.3572158130129
"[10, 0.1, 3, 100, 1, 0]",493.3572158130127
"[10, 0.1, 3, 100, 3, 0]",521.3572158130129
"[10, 0.1, 3, 100, 5, 0]",521.3572158130129
"[10, 0.1, 3, 500, 1, 0]",493.3572158130127
"[10, 0.1, 3, 500, 3, 0]",493.3572158130127
"[10, 0.1, 3, 500, 5, 0]",493.3572158130127
"[10, 0.1, 5, 10, 1, 0]",591.2122724565098
"[10, 0.1, 5, 10, 3, 0]",394.82657509548875
"[10, 0.1, 5, 10, 5, 0]",316.98899809959744
"[10, 0.1, 5, 100, 1, 0]",301.1268718988971
"[10, 0.1, 5, 100, 3, 0]",805.486769766135
"[10, 0.1, 5, 100, 5, 0]",767.9801472615817
"[10, 0.1, 5, 500, 1, 0]",571.5982482630626
"[10, 0.1, 5, 500, 3, 0]",567.0189034816718
"[10, 0.1, 5, 500, 5, 0]",297.0324083117028
"[100, 0.01, 1, 10, 1, 0]",1814.7079784698542
"[100, 0.01, 1, 10, 3, 0]",1814.7079784698542
"[100, 0.01, 1, 10, 5, 0]",1814.7079784698542
"[100, 0.01, 1, 100, 1, 0]",1814.7079784698542
"[100, 0.01, 1, 100, 3, 0]",1814.7079784698542
"[100, 0.01, 1, 100, 5, 0]",1814.7079784698542
"[100, 0.01, 1, 500, 1, 0]",1814.7079784698542
"[100, 0.01, 1, 500, 3, 0]",1814.7079784698542
"[100, 0.01, 1, 500, 5, 0]",1814.7079784698542
"[100, 0.01, 3, 10, 1, 0]",703.8985990329672
"[100, 0.01, 3, 10, 3, 0]",703.8985990329672
"[100, 0.01, 3, 10, 5, 0]",703.8985990329672
"[100, 0.01, 3, 100, 1, 0]",703.8985990329672
"[100, 0.01, 3, 100, 3, 0]",703.8985990329672
"[100, 0.01, 3, 100, 5, 0]",703.8985990329672
"[100, 0.01, 3, 500, 1, 0]",703.8985990329672
"[100, 0.01, 3, 500, 3, 0]",703.8985990329672
"[100, 0.01, 3, 500, 5, 0]",703.8985990329672
"[100, 0.01, 5, 10, 1, 0]",545.9604238597974
"[100, 0.01, 5, 10, 3, 0]",536.0159794153527
"[100, 0.01, 5, 10, 5, 0]",506.2937571931304
"[100, 0.01, 5, 100, 1, 0]",514.6980259091639
"[100, 0.01, 5, 100, 3, 0]",520.4604238597973
"[100, 0.01, 5, 100, 5, 0]",561.515979415353
"[100, 0.01, 5, 500, 1, 0]",522.3122757116489
"[100, 0.01, 5, 500, 3, 0]",557.627090526464
"[100, 0.01, 5, 500, 5, 0]",506.7567201560934
"[100, 0.05, 1, 10, 1, 0]",233.6838764431872
"[100, 0.05, 1, 10, 3, 0]",233.6838764431872
"[100, 0.05, 1, 10, 5, 0]",233.6838764431872
"[100, 0.05, 1, 100, 1, 0]",233.6838764431872
"[100, 0.05, 1, 100, 3, 0]",233.6838764431872
"[100, 0.05, 1, 100, 5, 0]",233.6838764431872
"[100, 0.05, 1, 500, 1, 0]",233.6838764431872
"[100, 0.05, 1, 500, 3, 0]",233.6838764431872
"[100, 0.05, 1, 500, 5, 0]",233.6838764431872
"[100, 0.05, 3, 10, 1, 0]",-196.7923225514499
"[100, 0.05, 3, 10, 3, 0]",-204.43517969430695
"[100, 0.05, 3, 10, 5, 0]",-209.88756064668786
