Profit,Params
1009.1786072613564,"[10, 0.01, 1, 10, 1, 3, 0]"
1009.1786072613564,"[10, 0.01, 1, 10, 1, 5, 0]"
1009.1786072613564,"[10, 0.01, 1, 10, 1, 8, 0]"
1009.1786072613564,"[10, 0.01, 1, 10, 3, 3, 0]"
1009.1786072613564,"[10, 0.01, 1, 10, 3, 5, 0]"
1009.1786072613564,"[10, 0.01, 1, 10, 3, 8, 0]"
1009.1786072613564,"[10, 0.01, 1, 10, 5, 3, 0]"
1009.1786072613564,"[10, 0.01, 1, 10, 5, 5, 0]"
1009.1786072613564,"[10, 0.01, 1, 10, 5, 8, 0]"
1009.1786072613564,"[10, 0.01, 1, 10, 10, 3, 0]"
1009.1786072613564,"[10, 0.01, 1, 10, 10, 5, 0]"
1009.1786072613564,"[10, 0.01, 1, 10, 10, 8, 0]"
1009.1786072613564,"[10, 0.01, 1, 100, 1, 3, 0]"
1009.1786072613564,"[10, 0.01, 1, 100, 1, 5, 0]"
1009.1786072613564,"[10, 0.01, 1, 100, 1, 8, 0]"
1009.1786072613564,"[10, 0.01, 1, 100, 3, 3, 0]"
1009.1786072613564,"[10, 0.01, 1, 100, 3, 5, 0]"
1009.1786072613564,"[10, 0.01, 1, 100, 3, 8, 0]"
1009.1786072613564,"[10, 0.01, 1, 100, 5, 3, 0]"
1009.1786072613564,"[10, 0.01, 1, 100, 5, 5, 0]"
1009.1786072613564,"[10, 0.01, 1, 100, 5, 8, 0]"
1009.1786072613564,"[10, 0.01, 1, 100, 10, 3, 0]"
1009.1786072613564,"[10, 0.01, 1, 100, 10, 5, 0]"
1009.1786072613564,"[10, 0.01, 1, 100, 10, 8, 0]"
1009.1786072613564,"[10, 0.01, 1, 500, 1, 3, 0]"
1009.1786072613564,"[10, 0.01, 1, 500, 1, 5, 0]"
1009.1786072613564,"[10, 0.01, 1, 500, 1, 8, 0]"
1009.1786072613564,"[10, 0.01, 1, 500, 3, 3, 0]"
1009.1786072613564,"[10, 0.01, 1, 500, 3, 5, 0]"
1009.1786072613564,"[10, 0.01, 1, 500, 3, 8, 0]"
1009.1786072613564,"[10, 0.01, 1, 500, 5, 3, 0]"
1009.1786072613564,"[10, 0.01, 1, 500, 5, 5, 0]"
1009.1786072613564,"[10, 0.01, 1, 500, 5, 8, 0]"
1009.1786072613564,"[10, 0.01, 1, 500, 10, 3, 0]"
1009.1786072613564,"[10, 0.01, 1, 500, 10, 5, 0]"
1009.1786072613564,"[10, 0.01, 1, 500, 10, 8, 0]"
1009.1786072613564,"[10, 0.01, 1, 1000, 1, 3, 0]"
1009.1786072613564,"[10, 0.01, 1, 1000, 1, 5, 0]"
1009.1786072613564,"[10, 0.01, 1, 1000, 1, 8, 0]"
1009.1786072613564,"[10, 0.01, 1, 1000, 3, 3, 0]"
1009.1786072613564,"[10, 0.01, 1, 1000, 3, 5, 0]"
1009.1786072613564,"[10, 0.01, 1, 1000, 3, 8, 0]"
1009.1786072613564,"[10, 0.01, 1, 1000, 5, 3, 0]"
