Date,Name,Team
2017-10-08,Kris Dunn,Bulls
2017-10-08,Dante Exum,Jazz
2017-10-08,Seth Curry,Mavericks
2017-10-08,Richaun Holmes,76ers
2017-10-09,Kris Dunn,Bulls
2017-10-09,Dante Exum,Jazz
2017-10-09,Seth Curry,Mavericks
2017-10-09,Richaun Holmes,76ers
2017-10-09,Rajon Rondo,Pelicans
2017-10-09,Sheldon Mac,Wizards
2017-10-10,Kris Dunn,Bulls
2017-10-10,Dante Exum,Jazz
2017-10-10,Seth Curry,Mavericks
2017-10-10,Richaun Holmes,76ers
2017-10-10,Rajon Rondo,Pelicans
2017-10-10,Sheldon Mac,Wizards
2017-10-11,Kris Dunn,Bulls
2017-10-11,Dante Exum,Jazz
2017-10-11,Seth Curry,Mavericks
2017-10-11,Richaun Holmes,76ers
2017-10-11,Rajon Rondo,Pelicans
2017-10-11,Sheldon Mac,Wizards
2017-10-11,Miles Plumlee,Hawks
2017-10-11,Michael Carter-Williams,Hornets
2017-10-12,Kris Dunn,Bulls
2017-10-12,Dante Exum,Jazz
2017-10-12,Seth Curry,Mavericks
2017-10-12,Richaun Holmes,76ers
2017-10-12,Rajon Rondo,Pelicans
2017-10-12,Sheldon Mac,Wizards
2017-10-12,Miles Plumlee,Hawks
2017-10-12,Michael Carter-Williams,Hornets
2017-10-12,Rodney McGruder,Heat
2017-10-12,Omer Asik,Pelicans
2017-10-12,Davon Reed,Suns
2017-10-13,Kris Dunn,Bulls
2017-10-13,Dante Exum,Jazz
2017-10-13,Seth Curry,Mavericks
2017-10-13,Richaun Holmes,76ers
2017-10-13,Rajon Rondo,Pelicans
2017-10-13,Sheldon Mac,Wizards
2017-10-13,Miles Plumlee,Hawks
2017-10-13,Michael Carter-Williams,Hornets
2017-10-13,Rodney McGruder,Heat
2017-10-13,Omer Asik,Pelicans
2017-10-13,Davon Reed,Suns
2017-10-14,Kris Dunn,Bulls
2017-10-14,Dante Exum,Jazz
2017-10-14,Seth Curry,Mavericks
2017-10-14,Richaun Holmes,76ers
2017-10-14,Rajon Rondo,Pelicans
2017-10-14,Sheldon Mac,Wizards
2017-10-14,Miles Plumlee,Hawks
2017-10-14,Michael Carter-Williams,Hornets
2017-10-14,Rodney McGruder,Heat
2017-10-14,Omer Asik,Pelicans
2017-10-14,Davon Reed,Suns
2017-10-14,Glenn Robinson III,Pacers
2017-10-15,Kris Dunn,Bulls
2017-10-15,Dante Exum,Jazz
2017-10-15,Seth Curry,Mavericks
2017-10-15,Richaun Holmes,76ers
2017-10-15,Rajon Rondo,Pelicans
2017-10-15,Sheldon Mac,Wizards
2017-10-15,Miles Plumlee,Hawks
2017-10-15,Michael Carter-Williams,Hornets
2017-10-15,Rodney McGruder,Heat
2017-10-15,Omer Asik,Pelicans
2017-10-15,Davon Reed,Suns
2017-10-15,Glenn Robinson III,Pacers
2017-10-16,Kris Dunn,Bulls
2017-10-16,Dante Exum,Jazz
2017-10-16,Seth Curry,Mavericks
2017-10-16,Richaun Holmes,76ers
2017-10-16,Rajon Rondo,Pelicans
2017-10-16,Sheldon Mac,Wizards
