Date,Team,Name,In_Out
2010-10-03,Bulls,Carlos Boozer,Out
2010-10-06,Pistons,Jonas Jerebko,Out
2010-10-06,Pistons,Terrico White,Out
2010-10-08,Blazers,Jeff Ayres,Out
2010-10-08,Nets,Troy Murphy,Out
2010-10-08,Pistons,Jonas Jerebko,Out
2010-10-08,Pistons,Terrico White,Out
2010-10-09,Nuggets,Al Harrington,Out
2010-10-12,Bucks,Darington Hobson,Out
2010-10-12,Kings,Samuel Dalembert,Out
2010-10-17,Bobcats,Dominic McGuire,Out
2010-10-18,Warriors,Lou Amundson,Out
2010-10-19,Suns,Josh Childress,Out
2010-10-22,Heat,Mike Miller,Out
2010-10-25,Thunder,Nick Collison,Out
2010-10-25,Timberwolves,Martell Webster,Out
2010-10-26,Blazers,Elliot Williams,Out
2010-10-26,Blazers,Greg Oden,Out
2010-10-26,Blazers,Joel Przybilla,Out
2010-10-26,Celtics,Avery Bradley,Out
2010-10-26,Celtics,Kendrick Perkins,Out
2010-10-26,Celtics,Luke Harangody,Out
2010-10-26,Heat,Dexter Pittman,Out
2010-10-26,Heat,Jerry Stackhouse,Out
2010-10-26,Heat,Mario Chalmers,Out
2010-10-26,Heat,Mike Miller,Out
2010-10-26,Lakers,Andrew Bynum,Out
2010-10-26,Lakers,Luke Walton,Out
2010-10-26,Rockets,Jermaine Taylor,Out
2010-10-26,Rockets,Kyle Lowry,Out
2010-10-26,Rockets,Patrick Patterson,Out
2010-10-26,Suns,Gani Lawal,Out
2010-10-26,Suns,Matt Janning,Out
2010-10-27,76ers,Craig Brackins,Out
2010-10-27,76ers,Jodie Meeks,Out
2010-10-27,Bobcats,Dominic McGuire,Out
2010-10-27,Bobcats,Eduardo Najera,Out
2010-10-27,Bobcats,Kwame Brown,Out
2010-10-27,Bucks,Chris Douglas-Roberts,Out
2010-10-27,Bucks,Jon Brockman,Out
2010-10-27,Bucks,Luc Mbah a Moute,Out
2010-10-27,Bucks,Michael Redd,Out
2010-10-27,Bulls,Carlos Boozer,Out
2010-10-27,Cavaliers,Christian Eyenga,Out
2010-10-27,Cavaliers,Mo Williams,Out
2010-10-27,Cavaliers,Samardo Samuels,Out
2010-10-27,Clippers,Craig Smith,Out
2010-10-27,Clippers,Willie Warren,Out
2010-10-27,Grizzlies,Greivis Vasquez,Out
2010-10-27,Grizzlies,Marc Gasol,Out
2010-10-27,Hawks,Etan Thomas,Out
2010-10-27,Hawks,Pape Sy,Out
2010-10-27,Heat,Jamaal Magloire,Out
2010-10-27,Heat,Jerry Stackhouse,In
2010-10-27,Hornets,Aaron Gray,Out
2010-10-27,Hornets,Joe Alexander,Out
2010-10-27,Hornets,Quincy Pondexter,Out
2010-10-27,Jazz,Mehmet Okur,Out
2010-10-27,Kings,Antoine Wright,Out
2010-10-27,Kings,Samuel Dalembert,Out
2010-10-27,Knicks,Anthony Randolph,Out
2010-10-27,Knicks,Eddy Curry,Out
2010-10-27,Knicks,Kelenna Azubuike,Out
2010-10-27,Mavericks,Alex Ajinca,Out
2010-10-27,Mavericks,Rodrigue Beaubois,Out
2010-10-27,Mavericks,Steve Novak,Out
2010-10-27,Nets,Ben Uzoh,Out
2010-10-27,Nets,Quinton Ross,Out
2010-10-27,Nets,Troy Murphy,Out
2010-10-27,Nuggets,Chris Andersen,Out
2010-10-27,Nuggets,Kenyon Martin,Out
2010-10-27,Pacers,A.J. Price,Out
2010-10-27,Pacers,Dahntay Jones,Out
2010-10-27,Pacers,Lance Stephenson,Out
2010-10-27,Pistons,Chris Wilcox,Out
2010-10-27,Pistons,Jonas Jerebko,Out
2010-10-27,Pistons,Terrico White,Out
2010-10-27,Raptors,Ed Davis ,Out
2010-10-27,Raptors,Marcus Banks,Out
2010-10-27,Raptors,Solomon Alabi,Out
2010-10-27,Rockets,Yao Ming,Out
2010-10-27,Rockets,Jermaine Taylor,In
2010-10-27,Spurs,Alonzo Gee,Out
2010-10-27,Spurs,Tiago Splitter,Out
2010-10-27,Thunder,B.J. Mullens,Out
2010-10-27,Thunder,Morris Peterson,Out
2010-10-27,Thunder,Nick Collison,Out
2010-10-27,Timberwolves,Jonny Flynn,Out
2010-10-27,Timberwolves,Martell Webster,Out
2010-10-27,Timberwolves,Maurice Ager,Out
2010-10-27,Warriors,Ekpe Udoh,Out
2010-10-27,Warriors,Jeremy Lin,Out
2010-10-27,Warriors,Lou Amundson,Out
2010-10-28,Grizzlies,Zach Randolph,Out
2010-10-28,Hawks,Maurice Evans,Out
2010-10-28,Magic,Daniel Orton,Out
2010-10-28,Magic,Malik Allen,Out
2010-10-28,Spurs,Matt Bonner,Out
2010-10-28,Wizards,Gilbert Arenas,Out
2010-10-28,Wizards,Josh Howard,Out
2010-10-28,Wizards,Kevin Seraphin,Out
2010-10-29,Cavaliers,Samardo Samuels,In
2010-10-29,Celtics,Jermaine O'Neal,Out
2010-10-29,Celtics,Luke Harangody,In
2010-10-29,Grizzlies,Zach Randolph,Out
2010-10-29,Grizzlies,Marc Gasol,In
2010-10-29,Hawks,Maurice Evans,Out
2010-10-29,Hawks,Etan Thomas,In
2010-10-29,Heat,Juwan Howard,Out
2010-10-29,Heat,Jamaal Magloire,In
2010-10-29,Heat,Mario Chalmers,In
2010-10-29,Kings,Pooh Jeter,Out
2010-10-29,Kings,Hassan Whiteside,Out
2010-10-29,Kings,Antoine Wright,In
2010-10-29,Kings,Samuel Dalembert,In
2010-10-29,Pistons,Will Bynum,Out
2010-10-29,Raptors,Joey Dorsey,Out
2010-10-29,Raptors,Marcus Banks,In
2010-10-29,Warriors,Jeff Adrien,Out
2010-10-29,Warriors,Jeremy Lin,In
2010-10-30,Cavaliers,Samardo Samuels,Out
2010-10-30,Grizzlies,Xavier Henry,Out
2010-10-30,Grizzlies,Greivis Vasquez,In
2010-10-30,Pacers,Jeff Foster,Out
2010-10-30,Pacers,Dahntay Jones,In
2010-10-30,Pistons,Will Bynum,Out
2010-10-30,Rockets,Ish Smith,Out
2010-10-30,Rockets,Kyle Lowry,In
2010-10-30,Rockets,Yao Ming,In
2010-10-30,Spurs,Matt Bonner,Out
2010-10-30,Spurs,Alonzo Gee,In
2010-10-30,Wizards,Kevin Seraphin,In
2010-10-31,Clippers,Randy Foye,Out
2010-10-31,Clippers,Craig Smith,In
2010-10-31,Warriors,Stephen Curry,Out
2010-10-31,Warriors,Jeff Adrien,In
2010-11-01,Clippers,Baron Davis,Out
2010-11-01,Clippers,Willie Warren,In
2010-11-01,Raptors,Marcus Banks,Out
2010-11-01,Raptors,Joey Dorsey,In
2010-11-01,Spurs,Alonzo Gee,Out
2010-11-01,Spurs,Tiago Splitter,In
