Date,VH,Team,Final,ML
1022,V,NOP,122,230
1022,H,TOR,130,-280
1022,V,LAL,102,-180
1022,H,LAC,112,150
1023,V,DET,119,240
1023,H,IND,110,-300
1023,V,CLE,85,400
1023,H,ORL,94,-550
1023,V,CHI,125,-170
1023,H,CHO,126,145
1023,V,BOS,93,190
1023,H,PHI,107,-240
1023,V,MEM,101,240
1023,H,MIA,120,-300
1023,V,MIN,127,142
1023,H,BRK,126,-165
1023,V,NYK,111,525
1023,H,SAS,120,-750
1023,V,WAS,100,350
1023,H,DAL,108,-450
1023,V,OKC,95,375
1023,H,UTA,100,-500
1023,V,SAC,95,-115
1023,H,PHO,124,-105
1023,V,DEN,108,-120
1023,H,POR,100,100
1024,V,ATL,117,105
1024,H,DET,100,-125
1024,V,MIL,117,100
1024,H,HOU,111,-120
1024,V,LAC,141,-110
1024,H,GSW,122,-110
1025,V,TOR,106,120
1025,H,BOS,112,-140
1025,V,MIN,121,-220
1025,H,CHO,99,180
1025,V,NYK,109,280
1025,H,BRK,113,-360
1025,V,WAS,97,300
1025,H,OKC,85,-400
1025,V,DAL,123,110
1025,H,NOP,116,-130
1025,V,CHI,110,-125
1025,H,MEM,102,105
1025,V,PHO,107,650
1025,H,DEN,108,-1000
1025,V,POR,122,-120
1025,H,SAC,112,100
1025,V,UTA,86,140
1025,H,LAL,95,-160
1026,V,MIA,131,550
1026,H,MIL,126,-800
1026,V,PHI,117,-190
1026,H,DET,111,160
1026,V,BOS,118,-240
1026,H,NYK,95,190
1026,V,ORL,99,-135
1026,H,ATL,103,115
1026,V,IND,99,-190
1026,H,CLE,110,160
1026,V,TOR,108,-155
1026,H,CHI,84,135
1026,V,NOP,123,650
1026,H,HOU,126,-1000
1026,V,WAS,122,650
1026,H,SAS,124,-1000
1026,V,SAC,81,350
1026,H,UTA,113,-450
1026,V,LAC,122,-550
1026,H,PHO,130,400
1027,V,GSW,92,100
1027,H,OKC,120,-120
1027,V,BRK,133,-180
1027,H,MEM,134,150
1027,V,MIA,109,240
1027,H,MIN,116,-300
1027,V,POR,121,125
1027,H,DAL,119,-145
1027,V,CHO,101,800
1027,H,LAL,120,-1400
1028,V,IND,94,-130
1028,H,DET,96,110
1028,V,CHI,98,-135
1028,H,NYK,105,115
1028,V,PHI,105,-280
1028,H,ATL,103,230
1028,V,ORL,95,175
1028,H,TOR,104,-210
1028,V,GSW,134,120
1028,H,NOP,123,-140
1028,V,CLE,112,1200
1028,H,MIL,129,-3000
1028,V,OKC,112,425
1028,H,HOU,116,-600
1028,V,POR,110,200
1028,H,SAS,113,-250
1028,V,UTA,96,-190
1028,H,PHO,95,160
1028,V,DEN,101,-220
1028,H,SAC,94,180
1028,V,CHO,96,1200
1028,H,LAC,111,-3000
1029,V,ATL,97,300
1029,H,MIA,112,-400
1029,V,DAL,109,185
1029,H,DEN,106,-230
1029,V,MEM,91,575
1029,H,LAL,120,-850
1030,V,NYK,83,375
1030,H,ORL,95,-500
1030,V,MIN,95,250
1030,H,PHI,117,-310
1030,V,CHI,111,-130
1030,H,CLE,117,110
1030,V,DET,113,375
1030,H,TOR,125,-500
1030,V,IND,118,130
1030,H,BRK,108,-150
1030,V,MIL,105,-165
1030,H,BOS,116,142
1030,V,HOU,159,-350
1030,H,WAS,158,275
1030,V,POR,102,-120
1030,H,OKC,99,100
1030,V,CHO,118,275
1030,H,SAC,111,-350
1030,V,LAC,96,230
1030,H,UTA,110,-280
1030,V,PHO,121,185
1030,H,GSW,110,-230
1031,V,MIA,106,-270
1031,H,ATL,97,220
1031,V,DEN,107,-180
1031,H,NOP,122,150
1031,V,SAS,97,170
1031,H,LAC,103,-200
1101,V,HOU,116,-190
1101,H,BRK,123,160
1101,V,MIL,123,-190
1101,H,ORL,91,160
1101,V,CLE,95,260
1101,H,IND,102,-330
1101,V,NYK,102,500
1101,H,BOS,104,-700
1101,V,DET,106,142
1101,H,CHI,112,-165
1101,V,LAL,119,-125
1101,H,DAL,110,105
1101,V,UTA,101,-210
1101,H,SAC,102,175
1101,V,SAS,127,-300
1101,H,GSW,110,240
1102,V,NOP,104,110
1102,H,OKC,115,-130
1102,V,BRK,109,-180
1102,H,DET,113,150
1102,V,DEN,91,-180
1102,H,ORL,87,150
1102,V,PHO,114,-150
1102,H,MEM,105,130
1102,V,MIN,131,130
1102,H,WAS,109,-150
1102,V,TOR,105,210
1102,H,MIL,115,-260
1102,V,CHO,93,-255
1102,H,GSW,87,205
1102,V,PHI,129,-105
1102,H,POR,128,-115
1103,V,CHI,95,110
1103,H,IND,108,-130
1103,V,HOU,100,-155
1103,H,MIA,129,135
1103,V,SAC,113,-115
1103,H,NYK,92,-105
1103,V,LAL,103,-120
1103,H,SAS,96,100
1103,V,DAL,131,-220
1103,H,CLE,111,180
1103,V,UTA,94,170
1103,H,LAC,105,-200
1104,V,DET,99,150
1104,H,WAS,115,-180
1104,V,NOP,125,145
1104,H,BRK,135,-170
1104,V,MIL,134,-330
1104,H,MIN,106,260
1104,V,HOU,107,-240
1104,H,MEM,100,190
1104,V,PHI,109,-110
1104,H,PHO,114,-110
1104,V,POR,118,-900
1104,H,GSW,127,600
1105,V,BOS,119,-260
1105,H,CLE,113,210
1105,V,IND,120,-135
1105,H,CHO,122,115
1105,V,SAS,100,-240
1105,H,ATL,108,190
1105,V,ORL,94,125
1105,H,OKC,102,-145
1105,V,LAL,118,-310
1105,H,CHI,112,250
1105,V,MIA,89,180
1105,H,DEN,109,-220
1106,V,NYK,102,142
1106,H,DET,122,-165
1106,V,WAS,106,130
1106,H,IND,121,-150
1106,V,SAC,120,275
1106,H,TOR,124,-350
1106,V,GSW,112,1100
1106,H,HOU,129,-2500
1106,V,CHI,113,-110
1106,H,ATL,93,-110
1106,V,MIN,121,-170
1106,H,MEM,137,145
1106,V,ORL,106,250
1106,H,DAL,107,-310
1106,V,PHI,104,130
1106,H,UTA,106,-150
1106,V,MIL,129,-270
1106,H,LAC,124,220
1107,V,BOS,108,-310
1107,H,CHO,87,250
1107,V,OKC,112,170
1107,H,SAS,121,-200
1107,V,MIA,124,110
1107,H,PHO,108,-130
1107,V,POR,101,190
1107,H,LAC,107,-240
1108,V,DET,106,210
1108,H,IND,112,-260
1108,V,CLE,113,160
1108,H,WAS,100,-190
1108,V,MEM,86,260
1108,H,ORL,118,-330
1108,V,SAC,121,-150
1108,H,ATL,109,130
1108,V,GSW,119,525
1108,H,MIN,125,-750
1108,V,TOR,122,-135
1108,H,NOP,104,115
1108,V,NYK,106,500
1108,H,DAL,102,-700
1108,V,MIL,100,-135
1108,H,UTA,103,115
1108,V,PHI,97,180
