Date,VH,Team,Final,ML
1027,V,CLE,95,160
1027,H,CHI,97,-180
1027,V,DET,106,255
1027,H,ATL,94,-320
1027,V,NO,95,510
1027,H,GS,111,-710
1028,V,WAS,88,-180
1028,H,ORL,87,160
1028,V,PHI,95,800
1028,H,BOS,112,-1300
1028,V,IND,99,195
1028,H,TOR,106,-235
1028,V,CHI,115,-205
1028,H,BKN,100,175
1028,V,CHA,94,210
1028,H,MIA,104,-260
1028,V,UTA,87,-105
1028,H,DET,92,-115
1028,V,SA,106,165
1028,H,OKC,112,-185
1028,V,NY,122,175
1028,H,MIL,97,-205
1028,V,DEN,105,510
1028,H,HOU,85,-710
1028,V,CLE,106,185
1028,H,MEM,76,-215
1028,V,NO,94,105
1028,H,POR,112,-125
1028,V,DAL,111,210
1028,H,PHO,95,-260
1028,V,LAC,111,-230
1028,H,SAC,104,190
1028,V,MIN,112,120
1028,H,LAL,111,-140
1029,V,MEM,112,-145
1029,H,IND,103,125
1029,V,ATL,112,-185
1029,H,NY,101,165
1029,V,DAL,88,650
1029,H,LAC,104,-950
1030,V,MIA,92,185
1030,H,CLE,102,-215
1030,V,UTA,99,-325
1030,H,PHI,71,260
1030,V,OKC,139,-365
1030,H,ORL,136,300
1030,V,TOR,113,110
1030,H,BOS,103,-130
1030,V,CHI,94,-145
1030,H,DET,98,125
1030,V,WAS,118,-135
1030,H,MIL,113,115
1030,V,CHA,94,155
1030,H,ATL,97,-175
1030,V,BKN,75,900
1030,H,SA,102,-1600
1030,V,MIN,95,140
1030,H,DEN,78,-160
1030,V,GS,112,-115
1030,H,HOU,92,-105
1030,V,LAL,114,245
1030,H,SAC,132,-305
1030,V,POR,92,170
1030,H,PHO,110,-200
1031,V,UTA,97,140
1031,H,IND,76,-160
1031,V,NY,117,260
1031,H,WAS,110,-320
1031,V,GS,134,-235
1031,H,NO,120,200
1031,V,BKN,91,705
1031,H,MEM,101,-955
1031,V,PHO,101,105
1031,H,POR,90,-125
1031,V,SAC,109,485
1031,H,LAC,114,-635
1101,V,ATL,94,-140
1101,H,CHA,92,120
1101,V,SA,95,-260
1101,H,BOS,87,210
1101,V,MIL,87,200
1101,H,TOR,106,-240
1101,V,HOU,89,150
1101,H,MIA,109,-170
1101,V,ORL,87,300
1101,H,CHI,92,-365
1101,V,DEN,93,800
1101,H,OKC,117,-1300
1101,V,DAL,103,-180
1101,H,LAL,93,160
1102,V,CLE,107,-1450
1102,H,PHI,100,850
1102,V,SA,94,-335
1102,H,NY,84,270
1102,V,MIL,103,-120
1102,H,BKN,96,100
1102,V,OKC,105,-180
1102,H,HOU,110,160
1102,V,POR,106,150
1102,H,MIN,101,-170
1102,V,MEM,69,380
1102,H,GS,119,-475
1102,V,PHO,96,369
1102,H,LAC,102,-464
1103,V,CHI,105,-170
1103,H,CHA,130,150
1103,V,ATL,98,155
1103,H,MIA,92,-175
1103,V,IND,94,165
1103,H,DET,82,-185
1103,V,ORL,103,175
1103,H,NO,94,-205
1103,V,TOR,102,-135
1103,H,DAL,91,115
1103,V,MEM,103,-185
1103,H,SAC,89,165
1103,V,DEN,120,130
1103,H,LAL,109,-150
1104,V,SA,99,-175
1104,H,WAS,102,155
